[SystemTime { tv_sec: 1783771285, tv_nsec: 813866000 } Pad 1: AxisChanged(LeftStickY, 0.0046712165, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 815866000 } Pad 1: AxisChanged(LeftStickY, 0.0065894015, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 817866000 } Pad 1: AxisChanged(LeftStickY, 0.013355363, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 819865000 } Pad 1: AxisChanged(LeftStickY, 0.01813339, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 821866000 } Pad 1: AxisChanged(LeftStickY, 0.024132077, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 823865000 } Pad 1: AxisChanged(LeftStickY, 0.026050258, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 825866000 } Pad 1: AxisChanged(LeftStickY, 0.032014072, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 827865000 } Pad 1: AxisChanged(LeftStickY, 0.038884662, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 829866000 } Pad 1: AxisChanged(LeftStickY, 0.045685504, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 831865000 } Pad 1: AxisChanged(LeftStickY, 0.047533933, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 833875000 } Pad 1: AxisChanged(LeftStickY, 0.05280022, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 835866000 } Pad 1: AxisChanged(LeftStickY, 0.054544024, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 837866000 } Pad 1: AxisChanged(LeftStickY, 0.06103098, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 839865000 } Pad 1: AxisChanged(LeftStickY, 0.062251642, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 841866000 } Pad 1: AxisChanged(LeftStickY, 0.0671343, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 843866000 } Pad 1: AxisChanged(LeftStickY, 0.074318774, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 845866000 } Pad 1: AxisChanged(LeftStickY, 0.07986407, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 847866000 } Pad 1: AxisChanged(LeftStickY, 0.085967384, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 849865000 } Pad 1: AxisChanged(LeftStickY, 0.08792045, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 851866000 } Pad 1: AxisChanged(LeftStickY, 0.09252409, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 853866000 } Pad 1: AxisChanged(LeftStickY, 0.09845303, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 855866000 } Pad 1: AxisChanged(LeftStickY, 0.103649564, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 857875000 } Pad 1: AxisChanged(LeftStickY, 0.1053585, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 859866000 } Pad 1: AxisChanged(LeftStickY, 0.1104504, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 861866000 } Pad 1: AxisChanged(LeftStickY, 0.11257785, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 863866000 } Pad 1: AxisChanged(LeftStickY, 0.11766975, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 865866000 } Pad 1: AxisChanged(LeftStickY, 0.12467984, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 867866000 } Pad 1: AxisChanged(LeftStickY, 0.1259005, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 869866000 } Pad 1: AxisChanged(LeftStickY, 0.1313063, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 871866000 } Pad 1: AxisChanged(LeftStickY, 0.13793276, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 873866000 } Pad 1: AxisChanged(LeftStickY, 0.14016484, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 875866000 } Pad 1: AxisChanged(LeftStickY, 0.14155988, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 877866000 } Pad 1: AxisChanged(LeftStickY, 0.1478027, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 879866000 } Pad 1: AxisChanged(LeftStickY, 0.14965113, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 881875000 } Pad 1: AxisChanged(LeftStickY, 0.15160419, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 883866000 } Pad 1: AxisChanged(LeftStickY, 0.15812603, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 885866000 } Pad 1: AxisChanged(LeftStickY, 0.16332255, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 887866000 } Pad 1: AxisChanged(LeftStickY, 0.16548489, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 889866000 } Pad 1: AxisChanged(LeftStickY, 0.1675077, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 891866000 } Pad 1: AxisChanged(LeftStickY, 0.17249496, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 893866000 } Pad 1: AxisChanged(LeftStickY, 0.17831928, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 897867000 } Pad 1: AxisChanged(LeftStickY, 0.18292291, Code(EvCode(EvCode { kind: 3, code: 1 })))
[SystemTime { tv_sec: 1783771285, tv_nsec: 899870000 } Pad 1: AxisChanged(LeftStickY, 0.18801484, Code(EvCode(EvCode { kind: 3, code: 1 })))
